,color,fullpath,length
84,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_11302034_C026_Proxy.mp4,49.916667
85,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11302035_C027_Proxy.mp4,11.916667
86,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302036_C028_Proxy.mp4,20.833333
87,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_11302036_C029_Proxy.mp4,113.833333
88,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302038_C030_Proxy.mp4,29.291667
89,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302039_C031_Proxy.mp4,143.916667
90,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11302041_C032_Proxy.mp4,5.166667
91,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302042_C033_Proxy.mp4,11.958333
92,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11302042_C034_Proxy.mp4,31.416667
93,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A008_11302102_C035_Proxy.mp4,2.916667
94,Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11302103_C036_Proxy.mp4,10.916667
95,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302104_C037_Proxy.mp4,26.583333
96,White and Gray,E:\CLOUD FILM MEDIA\PROXIES\A008_11302104_C038_Proxy.mp4,234.25
97,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A008_11302108_C039_Proxy.mp4,30.875
98,Navy and Olive,E:\CLOUD FILM MEDIA\PROXIES\A008_11302109_C040_Proxy.mp4,35.083333
99,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302110_C041_Proxy.mp4,15.208333
100,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302110_C042_Proxy.mp4,11.416667
101,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A008_11302111_C043_Proxy.mp4,20.166667
102,Gray,E:\CLOUD FILM MEDIA\PROXIES\A008_11302111_C044_Proxy.mp4,12.25
103,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11302154_C045_Proxy.mp4,62.041667
104,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A008_11302156_C046_Proxy.mp4,2.625
105,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A009_11212334_C001_Proxy.mp4,82.5
106,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A009_11212337_C002_Proxy.mp4,99.0
107,LightCoral and Purple,E:\CLOUD FILM MEDIA\PROXIES\A009_11212338_C003_Proxy.mp4,76.291667
108,Gray and Rose,E:\CLOUD FILM MEDIA\PROXIES\A009_11212339_C004_Proxy.mp4,119.458333
109,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A009_11212340_C005_Proxy.mp4,92.666667
110,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A009_11212341_C006_Proxy.mp4,61.041667
111,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11212341_C007_Proxy.mp4,145.916667
112,Gray and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A009_11212343_C008_Proxy.mp4,74.291667
113,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A009_11212344_C009_Proxy.mp4,65.666667
114,Gray and Rose,E:\CLOUD FILM MEDIA\PROXIES\A009_11212344_C010_Proxy.mp4,78.666667
115,Gray and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A009_11212345_C011_Proxy.mp4,49.708333
116,Gray and Rose,E:\CLOUD FILM MEDIA\PROXIES\A009_11212346_C012_Proxy.mp4,108.083333
117,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220824_C013_Proxy.mp4,72.833333
118,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220825_C014_Proxy.mp4,113.041667
119,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220827_C015_Proxy.mp4,69.666667
120,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A009_11220829_C016_Proxy.mp4,90.416667
121,Black and Gray,E:\CLOUD FILM MEDIA\PROXIES\A009_11220830_C017_Proxy.mp4,79.583333
122,Black and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220832_C018_Proxy.mp4,39.458333
123,Gray and Malibu,E:\CLOUD FILM MEDIA\PROXIES\A009_11220832_C019_Proxy.mp4,20.458333
124,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220833_C020_Proxy.mp4,9.875
125,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220833_C021_Proxy.mp4,24.791667
126,Gray and Green,E:\CLOUD FILM MEDIA\PROXIES\A009_11220833_C022_Proxy.mp4,25.25
127,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220834_C023_Proxy.mp4,33.916667
128,Gray and Anakiwa,E:\CLOUD FILM MEDIA\PROXIES\A009_11220835_C024_Proxy.mp4,43.916667
129,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A009_11220836_C025_Proxy.mp4,44.166667
130,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A009_11220836_C026_Proxy.mp4,33.583333
131,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220837_C027_Proxy.mp4,48.875
132,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220838_C028_Proxy.mp4,14.833333
133,Gray and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220838_C029_Proxy.mp4,28.458333
134,Gray and DeepSkyBlue,E:\CLOUD FILM MEDIA\PROXIES\A009_11220839_C030_Proxy.mp4,36.0
135,Teal and Purple,E:\CLOUD FILM MEDIA\PROXIES\A009_11220839_C031_Proxy.mp4,114.083333
136,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220842_C032_Proxy.mp4,37.083333
137,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220843_C033_Proxy.mp4,26.75
138,Teal and Gray,E:\CLOUD FILM MEDIA\PROXIES\A009_11220844_C034_Proxy.mp4,33.708333
139,Gray,E:\CLOUD FILM MEDIA\PROXIES\A009_11220845_C035_Proxy.mp4,13.791667
140,Gray and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220845_C036_Proxy.mp4,122.916667
141,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A009_11220847_C037_Proxy.mp4,41.625
142,Navy and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220848_C038_Proxy.mp4,62.208333
143,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A009_11220849_C039_Proxy.mp4,55.458333
144,Navy and Green,E:\CLOUD FILM MEDIA\PROXIES\A009_11220851_C040_Proxy.mp4,68.958333
145,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220852_C041_Proxy.mp4,18.125
146,Navy and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220852_C042_Proxy.mp4,13.875
147,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220853_C043_Proxy.mp4,51.041667
148,Gray,E:\CLOUD FILM MEDIA\PROXIES\A009_11220853_C044_Proxy.mp4,23.541667
149,Anakiwa and Pink,E:\CLOUD FILM MEDIA\PROXIES\A009_11220903_C045_Proxy.mp4,29.291667
150,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220904_C046_Proxy.mp4,28.916667
151,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A009_11220905_C047_Proxy.mp4,23.0
152,Black and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220907_C048_Proxy.mp4,110.125
153,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220910_C049_Proxy.mp4,31.458333
154,Black and Navy,E:\CLOUD FILM MEDIA\PROXIES\A009_11220910_C050_Proxy.mp4,98.333333
155,Black and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A009_11220912_C051_Proxy.mp4,63.166667
156,Black and Teal,E:\CLOUD FILM MEDIA\PROXIES\A009_11220914_C052_Proxy.mp4,25.958333
157,Teal and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A009_11220915_C053_Proxy.mp4,27.083333
158,Gray and Black,E:\CLOUD FILM MEDIA\PROXIES\A009_11220916_C054_Proxy.mp4,90.875
159,Black and Dolly,E:\CLOUD FILM MEDIA\PROXIES\A010_01201208_C001_Proxy.mp4,3.916667
160,LightCoral and DarkRed,E:\CLOUD FILM MEDIA\PROXIES\A010_01201209_C002_Proxy.mp4,3.333333
161,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201210_C003_Proxy.mp4,21.916667
162,Gray and LightCoral,E:\CLOUD FILM MEDIA\PROXIES\A010_01201224_C004_Proxy.mp4,7.75
