fullpath,length,objects
temp_clips\Happy_Hounds\Scene-130.mp4,5.345,"['dog', 'person', 'car', 'truck', 'person', 'truck']"
temp_clips\Happy_Hounds\Scene-131.mp4,5.347,"['dog', 'person', 'car', 'person']"
temp_clips\Happy_Hounds\Scene-132.mp4,0.102,"['bus', 'person']"
temp_clips\Happy_Hounds\Scene-133.mp4,5.249,['dog']
temp_clips\Happy_Hounds\Scene-134.mp4,3.284,['dog']
temp_clips\Happy_Hounds\Scene-135.mp4,2.081,"['chair', 'person']"
temp_clips\Happy_Hounds\Scene-136.mp4,3.17,['person']
temp_clips\Happy_Hounds\Scene-137.mp4,2.182,['person']
temp_clips\Happy_Hounds\Scene-138.mp4,2.987,"['dog', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-139.mp4,2.385,"['dog', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-140.mp4,5.357,"['book', 'person', 'person', 'dog']"
temp_clips\Happy_Hounds\Scene-141.mp4,0.877,['person']
temp_clips\Happy_Hounds\Scene-142.mp4,3.446,"['teddy bear', 'dog', 'person']"
temp_clips\Happy_Hounds\Scene-143.mp4,1.054,['person']
temp_clips\Happy_Hounds\Scene-144.mp4,5.361,['person']
temp_clips\Happy_Hounds\Scene-145.mp4,5.339,['person']
temp_clips\Happy_Hounds\Scene-146.mp4,1.881,"['tvmonitor', 'person']"
temp_clips\Happy_Hounds\Scene-147.mp4,3.473,"['person', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-148.mp4,5.343,"['chair', 'dog', 'person', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-149.mp4,1.676,"['backpack', 'person', 'dog', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-150.mp4,3.677,"['dog', 'cat']"
temp_clips\Happy_Hounds\Scene-151.mp4,3.117,"['dog', 'person', 'person', 'person', 'person']"
temp_clips\Happy_Hounds\Scene-152.mp4,0.038,[]
temp_clips\Happy_Hounds\Scene-153.mp4,0.074,[]
temp_clips\Happy_Hounds\Scene-154.mp4,0.054,['vase']
temp_clips\Happy_Hounds\Scene-155.mp4,0.044,['vase']
temp_clips\Happy_Hounds\Scene-156.mp4,2.077,['orange']
temp_clips\Happy_Hounds\Scene-157.mp4,5.349,[]
temp_clips\Happy_Hounds\Scene-158.mp4,1.055,[]
temp_clips\Happy_Hounds\Scene-159.mp4,4.317,['suitcase']
temp_clips\Happy_Hounds\Scene-160.mp4,2.752,['person']
temp_clips\Happy_Hounds\Scene-161.mp4,2.616,[]
temp_clips\Happy_Hounds\Scene-162.mp4,5.355,[]
temp_clips\Happy_Hounds\Scene-163.mp4,5.357,['person']
temp_clips\Happy_Hounds\Scene-164.mp4,1.829,['person']
